logical_name,filename,exists_in_current_workspace,bytes,sha256
Gaia_100pc_mother,e51f80bd-1cf0-4b84-943a-0f31d8f01408.csv,True,123762578,118841cb815c8c3e09d79d533062b89d534ffd8cefd066fccdbfaf2184fed3b5
AllWISE_crossmatch,2e207147-9533-11f1-b807-bc97e148b76b-O-result.csv,True,31848364,83627ad1048fd42328e58bdba2faf2f1c0354580a17c2cf1af810148b57e9188
2MASS_crossmatch,50dce5fd-9535-11f1-b807-bc97e148b76b-O-result.csv,True,28070059,4eec931a9dd06f96c8751f20bdc5d55fc5d8fa71a3f5dfb99332631afd69bf21
2MASS_best_neighbour_patch,fde02d7a-9536-11f1-b807-bc97e148b76b-O-result.csv,True,281,328a2f4c81cfef4cd9df053b5ce9a3d3385bca5941259dc58e9d55672272e3ac
Gaia_hostcut_patch,df8660d8-9564-11f1-b807-bc97e148b76b-O-result.csv,True,53711851,ff2de6e817581643b3cb61916958362653f38607d2a1a3c23080f850c103656d
E12_master,gtco_e12_real_100pc_master_with_msflags.csv.gz,True,95152977,e7b54a105cf7c0bb2be0470b5f8f31f742bc48d0157495f6a802c4fa983fe5ce
E12c_templates,gtco_e12c_265_real_templates.csv,True,85086,63b98da4816f5c284608d30fe0baf15f6e9f9f1993f4a68b5e75744ff5427965
E12c_validation,gtco_e12c_validation_sample_3000.csv,True,867871,d10a53eb49dce93602312f5ae2e507ee94babc8908a91157a34c0cec1826cb49
E12c_frozen_surface,gtco_e12c_recovery_surface.csv,True,9469,b27085cbc0d0afbb466e1b12f8a98edc5adfb0aa4c85335ab2c9015122523d64
E17_seed,gtco_e17a_real_image_seed_sample.csv,True,2473,a7c56c1de4daf2f64b40b24747979ce86c135bc1344d660cea3d90f4bf77efbe
