T_DS_K,gamma,N,catalog_survival,photometric_recovery_all,host_pass_all,joint_photometry_and_host_pass,factorized_joint_estimate,joint_over_factorized,median_best_RMSE_mag_survivors
100.0,0.1,3000,0.9986666666666667,0.9223333333333333,0.442,0.4236666666666667,0.40767133333333333,1.039235855027007,0.08063663700957703
100.0,0.2,3000,0.9986666666666667,0.9463333333333334,0.442,0.432,0.41827933333333334,1.0328026406595912,0.07624886457271518
100.0,0.3,3000,0.9986666666666667,0.95,0.442,0.43233333333333335,0.4199,1.0296102246566643,0.07538012140029932
100.0,0.5,3000,0.9943333333333333,0.954,0.442,0.43166666666666664,0.421668,1.0237121779852079,0.07667324104869779
100.0,0.7,3000,0.988,0.9336666666666666,0.442,0.424,0.41268066666666664,1.0274287948227927,0.09090773955541126
100.0,0.9,3000,0.9183333333333333,0.548,0.442,0.25466666666666665,0.24221600000000001,1.0514031553104115,0.1842450973208812
150.0,0.1,3000,0.9983333333333333,0.93,0.442,0.4256666666666667,0.41106000000000004,1.0355341474886066,0.0820831115731199
150.0,0.2,3000,0.9983333333333333,0.947,0.442,0.432,0.418574,1.0320755708668001,0.07795670892585571
150.0,0.3,3000,0.9986666666666667,0.9543333333333334,0.442,0.434,0.4218153333333334,1.0288862582836407,0.07549651115371278
150.0,0.5,3000,0.9943333333333333,0.9556666666666667,0.442,0.432,0.42240466666666665,1.0227159737818554,0.07667967113422425
150.0,0.7,3000,0.988,0.9376666666666666,0.442,0.424,0.4144486666666667,1.0230458778167943,0.08991810848931198
150.0,0.9,3000,0.919,0.555,0.442,0.25833333333333336,0.24531000000000003,1.053089288383406,0.1798644850493559
200.0,0.1,3000,0.9986666666666667,0.9253333333333333,0.442,0.4236666666666667,0.4089973333333333,1.0358665745171933,0.08219770801076974
200.0,0.2,3000,0.9983333333333333,0.9483333333333334,0.442,0.43366666666666664,0.41916333333333333,1.0346006727687695,0.07684018720211473
200.0,0.3,3000,0.9986666666666667,0.949,0.442,0.43233333333333335,0.419458,1.0306951669376514,0.07584485096970697
