noise_model,T_DS_K,gamma,survival,recovery,joint_baseline_host
baseline_absolute,100.0,0.1,0.9986666666666667,0.9223333333333333,0.4236666666666667
baseline_absolute,100.0,0.2,0.9986666666666667,0.9463333333333334,0.432
baseline_absolute,100.0,0.3,0.9986666666666667,0.95,0.43233333333333335
baseline_absolute,100.0,0.5,0.9943333333333333,0.954,0.43166666666666664
baseline_absolute,100.0,0.7,0.988,0.9336666666666666,0.424
baseline_absolute,100.0,0.9,0.9183333333333333,0.548,0.25466666666666665
baseline_absolute,150.0,0.1,0.9983333333333333,0.93,0.4256666666666667
baseline_absolute,150.0,0.2,0.9983333333333333,0.947,0.432
baseline_absolute,150.0,0.3,0.9986666666666667,0.9543333333333334,0.434
baseline_absolute,150.0,0.5,0.9943333333333333,0.9556666666666667,0.432
baseline_absolute,150.0,0.7,0.988,0.9376666666666666,0.424
baseline_absolute,150.0,0.9,0.919,0.555,0.25833333333333336
baseline_absolute,200.0,0.1,0.9986666666666667,0.9253333333333333,0.4236666666666667
baseline_absolute,200.0,0.2,0.9983333333333333,0.9483333333333334,0.43366666666666664
baseline_absolute,200.0,0.3,0.9986666666666667,0.949,0.43233333333333335
baseline_absolute,200.0,0.5,0.994,0.9526666666666667,0.43166666666666664
baseline_absolute,200.0,0.7,0.988,0.9393333333333334,0.4256666666666667
baseline_absolute,200.0,0.9,0.9186666666666666,0.605,0.2743333333333333
baseline_absolute,250.0,0.1,0.998,0.9323333333333333,0.42533333333333334
baseline_absolute,250.0,0.2,0.9986666666666667,0.953,0.43466666666666665
baseline_absolute,250.0,0.3,0.9983333333333333,0.957,0.43433333333333335
baseline_absolute,250.0,0.5,0.9943333333333333,0.9533333333333334,0.43266666666666664
baseline_absolute,250.0,0.7,0.989,0.9416666666666667,0.426
baseline_absolute,250.0,0.9,0.9246666666666666,0.596,0.2773333333333333
baseline_absolute,300.0,0.1,0.9986666666666667,0.9383333333333334,0.4266666666666667
baseline_absolute,300.0,0.2,0.9986666666666667,0.955,0.43466666666666665
baseline_absolute,300.0,0.3,0.9986666666666667,0.96,0.436
baseline_absolute,300.0,0.5,0.9936666666666667,0.9553333333333334,0.43366666666666664
baseline_absolute,300.0,0.7,0.9896666666666667,0.95,0.431
baseline_absolute,300.0,0.9,0.936,0.706,0.32666666666666666
baseline_absolute,400.0,0.1,0.9986666666666667,0.9436666666666667,0.42766666666666664
baseline_absolute,400.0,0.2,0.9986666666666667,0.9613333333333334,0.43566666666666665
baseline_absolute,400.0,0.3,0.9986666666666667,0.9626666666666667,0.437
baseline_absolute,400.0,0.5,0.9946666666666667,0.9613333333333334,0.43666666666666665
baseline_absolute,400.0,0.7,0.9896666666666667,0.959,0.435
baseline_absolute,400.0,0.9,0.9396666666666667,0.768,0.3566666666666667
baseline_absolute,500.0,0.1,0.9986666666666667,0.9483333333333334,0.42933333333333334
baseline_absolute,500.0,0.2,0.9986666666666667,0.962,0.43633333333333335
baseline_absolute,500.0,0.3,0.9986666666666667,0.965,0.43766666666666665
baseline_absolute,500.0,0.5,0.9946666666666667,0.963,0.43666666666666665
baseline_absolute,500.0,0.7,0.9896666666666667,0.9593333333333334,0.43466666666666665
baseline_absolute,500.0,0.9,0.944,0.794,0.36666666666666664
baseline_absolute,600.0,0.1,0.9986666666666667,0.9503333333333334,0.43
baseline_absolute,600.0,0.2,0.9986666666666667,0.966,0.437
baseline_absolute,600.0,0.3,0.9986666666666667,0.9683333333333334,0.438
baseline_absolute,600.0,0.5,0.9953333333333333,0.967,0.438
baseline_absolute,600.0,0.7,0.9896666666666667,0.963,0.436
baseline_absolute,600.0,0.9,0.9636666666666667,0.8393333333333334,0.382
baseline_absolute,700.0,0.1,0.9986666666666667,0.9463333333333334,0.42966666666666664
baseline_absolute,700.0,0.2,0.9986666666666667,0.9666666666666667,0.43733333333333335
baseline_absolute,700.0,0.3,0.9983333333333333,0.967,0.43766666666666665
baseline_absolute,700.0,0.5,0.9953333333333333,0.966,0.437
baseline_absolute,700.0,0.7,0.9896666666666667,0.9676666666666667,0.437
baseline_absolute,700.0,0.9,0.9826666666666667,0.902,0.4136666666666667
poisson_scaled,100.0,0.1,0.9986666666666667,0.9223333333333333,0.4236666666666667
poisson_scaled,100.0,0.2,0.9986666666666667,0.9483333333333334,0.43233333333333335
poisson_scaled,100.0,0.3,0.9986666666666667,0.9536666666666667,0.43366666666666664
poisson_scaled,100.0,0.5,0.9986666666666667,0.962,0.43533333333333335
poisson_scaled,100.0,0.7,0.9963333333333333,0.9583333333333334,0.43133333333333335
poisson_scaled,100.0,0.9,0.989,0.9346666666666666,0.42433333333333334
poisson_scaled,150.0,0.1,0.9983333333333333,0.932,0.4256666666666667
poisson_scaled,150.0,0.2,0.9983333333333333,0.9476666666666667,0.432
poisson_scaled,150.0,0.3,0.9986666666666667,0.956,0.434
poisson_scaled,150.0,0.5,0.9986666666666667,0.9623333333333334,0.43433333333333335
poisson_scaled,150.0,0.7,0.996,0.9626666666666667,0.43466666666666665
poisson_scaled,150.0,0.9,0.989,0.9426666666666667,0.42633333333333334
poisson_scaled,200.0,0.1,0.9986666666666667,0.925,0.4236666666666667
poisson_scaled,200.0,0.2,0.9983333333333333,0.9506666666666667,0.43466666666666665
poisson_scaled,200.0,0.3,0.9986666666666667,0.9533333333333334,0.43366666666666664
poisson_scaled,200.0,0.5,0.9983333333333333,0.9593333333333334,0.436
poisson_scaled,200.0,0.7,0.996,0.959,0.434
poisson_scaled,200.0,0.9,0.9893333333333333,0.9426666666666667,0.42833333333333334
poisson_scaled,250.0,0.1,0.9983333333333333,0.9323333333333333,0.4256666666666667
poisson_scaled,250.0,0.2,0.9986666666666667,0.9553333333333334,0.435
poisson_scaled,250.0,0.3,0.9986666666666667,0.9583333333333334,0.43433333333333335
poisson_scaled,250.0,0.5,0.9986666666666667,0.9596666666666667,0.436
poisson_scaled,250.0,0.7,0.9956666666666667,0.9623333333333334,0.43466666666666665
poisson_scaled,250.0,0.9,0.9876666666666667,0.939,0.4266666666666667
poisson_scaled,300.0,0.1,0.9986666666666667,0.939,0.42733333333333334
poisson_scaled,300.0,0.2,0.9986666666666667,0.956,0.43466666666666665
poisson_scaled,300.0,0.3,0.9986666666666667,0.961,0.43633333333333335
poisson_scaled,300.0,0.5,0.9983333333333333,0.9626666666666667,0.436
poisson_scaled,300.0,0.7,0.9963333333333333,0.9653333333333334,0.437
poisson_scaled,300.0,0.9,0.9896666666666667,0.9506666666666667,0.43066666666666664
poisson_scaled,400.0,0.1,0.9986666666666667,0.944,0.42766666666666664
poisson_scaled,400.0,0.2,0.9986666666666667,0.961,0.43533333333333335
poisson_scaled,400.0,0.3,0.9986666666666667,0.9623333333333334,0.43666666666666665
poisson_scaled,400.0,0.5,0.9986666666666667,0.966,0.43766666666666665
poisson_scaled,400.0,0.7,0.9963333333333333,0.9666666666666667,0.438
poisson_scaled,400.0,0.9,0.9893333333333333,0.9576666666666667,0.43433333333333335
poisson_scaled,500.0,0.1,0.9986666666666667,0.948,0.42933333333333334
poisson_scaled,500.0,0.2,0.9986666666666667,0.9626666666666667,0.43633333333333335
poisson_scaled,500.0,0.3,0.9986666666666667,0.965,0.43766666666666665
poisson_scaled,500.0,0.5,0.9986666666666667,0.966,0.438
poisson_scaled,500.0,0.7,0.9963333333333333,0.9646666666666667,0.437
poisson_scaled,500.0,0.9,0.9896666666666667,0.9586666666666667,0.43466666666666665
poisson_scaled,600.0,0.1,0.9986666666666667,0.9493333333333334,0.42966666666666664
poisson_scaled,600.0,0.2,0.9986666666666667,0.966,0.437
poisson_scaled,600.0,0.3,0.9986666666666667,0.968,0.438
poisson_scaled,600.0,0.5,0.9986666666666667,0.9676666666666667,0.43833333333333335
poisson_scaled,600.0,0.7,0.9956666666666667,0.968,0.439
poisson_scaled,600.0,0.9,0.9896666666666667,0.9653333333333334,0.436
poisson_scaled,700.0,0.1,0.9986666666666667,0.9446666666666667,0.42966666666666664
poisson_scaled,700.0,0.2,0.9986666666666667,0.9666666666666667,0.43733333333333335
poisson_scaled,700.0,0.3,0.9986666666666667,0.9676666666666667,0.43766666666666665
poisson_scaled,700.0,0.5,0.9986666666666667,0.97,0.43833333333333335
poisson_scaled,700.0,0.7,0.997,0.9716666666666667,0.43933333333333335
poisson_scaled,700.0,0.9,0.99,0.965,0.436
conservative_floor_poisson,100.0,0.1,0.9986666666666667,0.922,0.4236666666666667
conservative_floor_poisson,100.0,0.2,0.9986666666666667,0.9466666666666667,0.43166666666666664
conservative_floor_poisson,100.0,0.3,0.9986666666666667,0.9496666666666667,0.43233333333333335
conservative_floor_poisson,100.0,0.5,0.9943333333333333,0.9543333333333334,0.43166666666666664
conservative_floor_poisson,100.0,0.7,0.988,0.934,0.424
conservative_floor_poisson,100.0,0.9,0.9183333333333333,0.5463333333333333,0.25433333333333336
conservative_floor_poisson,150.0,0.1,0.9983333333333333,0.9306666666666666,0.4256666666666667
conservative_floor_poisson,150.0,0.2,0.9983333333333333,0.947,0.432
conservative_floor_poisson,150.0,0.3,0.9986666666666667,0.9543333333333334,0.434
conservative_floor_poisson,150.0,0.5,0.9943333333333333,0.956,0.43166666666666664
conservative_floor_poisson,150.0,0.7,0.988,0.9383333333333334,0.424
conservative_floor_poisson,150.0,0.9,0.919,0.555,0.25866666666666666
conservative_floor_poisson,200.0,0.1,0.9986666666666667,0.924,0.42333333333333334
conservative_floor_poisson,200.0,0.2,0.9983333333333333,0.9476666666666667,0.43366666666666664
conservative_floor_poisson,200.0,0.3,0.9986666666666667,0.9493333333333334,0.43233333333333335
conservative_floor_poisson,200.0,0.5,0.994,0.9516666666666667,0.43166666666666664
conservative_floor_poisson,200.0,0.7,0.988,0.9386666666666666,0.42533333333333334
conservative_floor_poisson,200.0,0.9,0.9186666666666666,0.604,0.27366666666666667
conservative_floor_poisson,250.0,0.1,0.998,0.932,0.42533333333333334
conservative_floor_poisson,250.0,0.2,0.9986666666666667,0.953,0.43466666666666665
conservative_floor_poisson,250.0,0.3,0.9983333333333333,0.9563333333333334,0.43433333333333335
conservative_floor_poisson,250.0,0.5,0.9943333333333333,0.9533333333333334,0.43266666666666664
conservative_floor_poisson,250.0,0.7,0.989,0.942,0.42633333333333334
conservative_floor_poisson,250.0,0.9,0.9246666666666666,0.5966666666666667,0.2773333333333333
conservative_floor_poisson,300.0,0.1,0.9986666666666667,0.9386666666666666,0.427
conservative_floor_poisson,300.0,0.2,0.9986666666666667,0.9553333333333334,0.43466666666666665
conservative_floor_poisson,300.0,0.3,0.9986666666666667,0.9593333333333334,0.43566666666666665
conservative_floor_poisson,300.0,0.5,0.9936666666666667,0.9556666666666667,0.43333333333333335
conservative_floor_poisson,300.0,0.7,0.9896666666666667,0.9496666666666667,0.431
conservative_floor_poisson,300.0,0.9,0.936,0.7043333333333334,0.3263333333333333
conservative_floor_poisson,400.0,0.1,0.9986666666666667,0.9436666666666667,0.42766666666666664
conservative_floor_poisson,400.0,0.2,0.9986666666666667,0.9606666666666667,0.43533333333333335
conservative_floor_poisson,400.0,0.3,0.9986666666666667,0.9623333333333334,0.43666666666666665
conservative_floor_poisson,400.0,0.5,0.9946666666666667,0.9616666666666667,0.43666666666666665
conservative_floor_poisson,400.0,0.7,0.9896666666666667,0.9586666666666667,0.435
