band,variant,N_hosts,N_valid,retention,host_allpass_fraction,hosts_with_any_failure,median_score_change
W3,blur_mild,23,332,1.0,1.0,0,-0.5391152783369529
W3,blur_moderate,23,332,1.0,1.0,0,0.4160400396944228
W3,matched,23,332,1.0,1.0,0,-0.5385484145106973
W3,offset_0p1pix,23,332,1.0,1.0,0,0.32028431841382343
W3,offset_0p25pix,23,332,1.0,1.0,0,1.5420892376867026
W3,offset_0p5pix,23,332,1.0,1.0,0,2.7819329639914088
W4,blur_mild,23,596,0.4513422818791946,0.17391304347826086,19,13.553958804872021
W4,blur_moderate,23,596,0.17114093959731544,0.0,23,22.659456627137143
W4,matched,23,596,1.0,1.0,0,-0.5033400756675874
W4,offset_0p1pix,23,596,0.3624161073825503,0.13043478260869565,20,15.733648835861146
W4,offset_0p25pix,23,596,0.13590604026845637,0.0,23,23.249499275885952
W4,offset_0p5pix,23,596,0.04194630872483222,0.0,23,28.971002674719067
