mode,T_DS_K,gamma,survival,recovery,joint_baseline_host
frozen,100.0,0.1,0.9986666666666667,0.9223333333333333,0.4236666666666667
frozen,100.0,0.2,0.9986666666666667,0.9463333333333334,0.432
frozen,100.0,0.3,0.9986666666666667,0.95,0.43233333333333335
frozen,100.0,0.5,0.9943333333333333,0.954,0.43166666666666664
frozen,100.0,0.7,0.988,0.9336666666666666,0.424
frozen,100.0,0.9,0.9183333333333333,0.548,0.25466666666666665
frozen,150.0,0.1,0.9983333333333333,0.93,0.4256666666666667
frozen,150.0,0.2,0.9983333333333333,0.947,0.432
frozen,150.0,0.3,0.9986666666666667,0.9543333333333334,0.434
frozen,150.0,0.5,0.9943333333333333,0.9556666666666667,0.432
frozen,150.0,0.7,0.988,0.9376666666666666,0.424
frozen,150.0,0.9,0.919,0.555,0.25833333333333336
frozen,200.0,0.1,0.9986666666666667,0.9253333333333333,0.4236666666666667
frozen,200.0,0.2,0.9983333333333333,0.9483333333333334,0.43366666666666664
frozen,200.0,0.3,0.9986666666666667,0.949,0.43233333333333335
frozen,200.0,0.5,0.994,0.9526666666666667,0.43166666666666664
frozen,200.0,0.7,0.988,0.9393333333333334,0.4256666666666667
frozen,200.0,0.9,0.9186666666666666,0.605,0.2743333333333333
frozen,250.0,0.1,0.998,0.9323333333333333,0.42533333333333334
frozen,250.0,0.2,0.9986666666666667,0.953,0.43466666666666665
frozen,250.0,0.3,0.9983333333333333,0.957,0.43433333333333335
frozen,250.0,0.5,0.9943333333333333,0.9533333333333334,0.43266666666666664
frozen,250.0,0.7,0.989,0.9416666666666667,0.426
frozen,250.0,0.9,0.9246666666666666,0.596,0.2773333333333333
frozen,300.0,0.1,0.9986666666666667,0.9383333333333334,0.4266666666666667
frozen,300.0,0.2,0.9986666666666667,0.955,0.43466666666666665
frozen,300.0,0.3,0.9986666666666667,0.96,0.436
frozen,300.0,0.5,0.9936666666666667,0.9553333333333334,0.43366666666666664
frozen,300.0,0.7,0.9896666666666667,0.95,0.431
frozen,300.0,0.9,0.936,0.706,0.32666666666666666
frozen,400.0,0.1,0.9986666666666667,0.9436666666666667,0.42766666666666664
frozen,400.0,0.2,0.9986666666666667,0.9613333333333334,0.43566666666666665
frozen,400.0,0.3,0.9986666666666667,0.9626666666666667,0.437
frozen,400.0,0.5,0.9946666666666667,0.9613333333333334,0.43666666666666665
frozen,400.0,0.7,0.9896666666666667,0.959,0.435
frozen,400.0,0.9,0.9396666666666667,0.768,0.3566666666666667
frozen,500.0,0.1,0.9986666666666667,0.9483333333333334,0.42933333333333334
