source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin,w2mpro_raw
2210840501590321792,5.031558,5.0358152,5.0140295,1255.9609,699.99164,582.8097,0.021785736,0.8175041,4.951,0.249,4.983013536384272,0.098,5.017,0.015,4.889,0.03,0,0.0,4.923,0.037,5.003,0.044,4.967,0.017,95.57552870993077,0.1298244542417492,True,12000.0,0.084974014256502,4.859397332857656e-10,0.0641955046620488,True,0.0,template,4.775
2437910577801159424,4.9926295,4.978807,4.977981,930.5161,646.15936,81.566284,0.00082588196,0.866635,4.923,0.193,4.984811685305867,0.094,5.022,0.015,4.945,0.03,0,0.0,5.096,0.218,5.06,0.082,4.964,0.024,70.85549250520249,0.7407618945317402,True,8050.397746417033,0.0432537868143453,1.707737660738058e-10,0.1419514008440892,True,12.0,template,4.777
205334041305995648,6.0527635,6.02465,6.073102,2454.467,1381.6132,1238.2057,-0.0484519,0.949955,6.15,0.108,6.127400632432368,0.032,6.19,0.015,6.128,0.055,0000,0.0,6.048,0.034,6.103,0.038,6.107,0.021,98.809012217923,1.0787807113728274,True,12000.0,0.0243348120016696,1.7172019259335222e-10,,,,validation,6.063
5372082838294397952,5.2022867,5.3268156,4.982537,1995.0325,1768.2454,952.604,0.3442788,1.1845131,4.62,0.289,4.678039507956814,0.068,4.679,0.015,4.619,0.023,0000,0.0,4.806,0.037,4.813,0.016,4.64,0.018,58.1977130079893,1.3777571072939914,True,7498.73438116446,0.0726030736269875,1.8358151578401492e-10,,,,validation,4.436
4493790166883346432,6.4635496,6.469739,6.4221506,3113.3962,1451.5331,1900.4246,0.04758835,0.953087,6.415,0.082,6.359746638052827,0.023,6.417,0.016,6.421,0.057,0,0.0,6.33,0.02,6.369,0.034,6.363,0.018,93.59276726804764,1.607338158496674,True,12000.0,0.0216785547101429,1.3510263211157348e-10,0.0780079932960182,True,29.0,template,6.327
6749868489550154112,6.536455,6.610766,6.3718004,2787.799,866.686,1188.2742,0.23896551,1.0560426,6.052,0.115,6.021868258589657,0.036,6.11,0.016,6.107,0.052,00p0,0.0,6.205,0.02,6.129,0.031,6.076,0.021,88.11822156318877,1.811126382679408,True,8103.5088788656,0.0165569839724461,6.246952457938372e-11,,,,validation,5.943
3542459686821115136,6.832999,6.8868437,6.700827,2543.6145,971.3965,1276.3137,0.18601656,0.8397523,6.452,0.079,6.421541858163201,0.024,6.514,0.016,6.386,0.065,0,0.0,6.556,0.019,6.505,0.034,6.482,0.026,93.93218804943088,1.968926805610508,True,9238.920778301155,0.0090733841023497,6.033472316846569e-11,0.0600903578391198,True,36.0,template,6.397
2128851225177806080,6.7304435,6.8495655,6.494307,4361.423,1634.0396,1963.924,0.35525846,0.9377035,6.104,0.098,6.091349703006416,0.035,6.123,0.015,6.05,0.036,0,0.0,6.189,0.019,6.125,0.016,6.091,0.016,83.99954618359303,2.109058801267601,True,8702.249454668641,0.0179886462791297,7.371688000363245e-11,0.0845559246668194,True,39.0,template,6.022
744772141153246720,6.7849417,6.8788805,6.5887456,3848.5688,2108.717,2534.6648,0.2901349,0.9407845,6.283,0.086,6.2083006514956995,0.026,6.291,0.015,6.057,0.049,0000,0.0,6.345,0.03,6.3,0.023,6.247,0.021,81.58739244335882,2.2268264341295385,True,8702.24945466862,0.0276381699642392,6.368424733976582e-11,,,,validation,6.155
6345402485751622912,7.044976,7.282885,6.642492,5415.246,1479.1514,2196.3096,0.64039326,17.438795,5.952,0.113,5.937371071924899,0.045,5.926,0.015,5.855,0.041,0000,0.0,6.205,0.019,6.03,0.031,5.925,0.023,87.20625950115777,2.3422377055409065,True,6137.713746533194,0.0715944198747087,3.587690365133053e-11,,,,validation,5.847
6445028718949194240,7.2624493,7.426811,6.9586825,3346.8027,1230.4034,1221.8744,0.46812868,13.704734,6.429,0.08,6.411822425226703,0.024,6.448,0.015,6.444,0.061,0000,0.0,6.658,0.023,6.522,0.038,6.464,0.033,92.44596030201176,2.43300960932104,True,7104.037980766942,0.0280919429302288,3.083869541635042e-11,,,,validation,6.386
3728478706139382016,7.1405296,7.2566175,6.915092,4685.632,2652.3333,1914.1583,0.34152555,1.0196005,6.594,0.07,6.55540376570666,0.022,6.624,0.016,6.513,0.072,0,0.0,6.68,0.018,6.649,0.042,6.604,0.017,83.96455516566051,2.520049642584468,True,9191.384776353823,0.0056915799130038,5.2740654027129566e-11,0.0404657881187491,True,47.0,template,6.548
6697336607113232768,7.450173,7.5828056,7.194432,3781.935,1843.4445,1577.4845,0.38837385,1.1449353,6.787,0.071,6.75900194748986,0.022,6.829,0.016,6.843,0.083,0000,0.0,6.954,0.018,6.863,0.024,6.791,0.017,92.8152950713516,2.612075251570415,True,7543.987657782311,0.0410408604614632,2.637314557230428e-11,,,,validation,6.775
1786774019397408768,5.699369,5.8527293,5.417825,886.6954,335.27393,252.23042,0.4349041,1.0689087,4.92,0.234,4.969526370050372,0.101,5.008,0.015,4.873,0.029,0000,0.0,5.14,0.037,4.99,0.023,4.96,0.027,39.890979678965394,2.694995488801249,True,7295.37524347541,0.0330873937906321,1.3632374996361704e-10,,,,validation,4.76
2292510850908047360,7.502122,7.6517253,7.2244515,1304.0977,398.13016,659.54895,0.42727375,1.0544454,6.734,0.072,6.712930857521232,0.021,6.789,0.016,6.721,0.051,hh00,0.0,6.953,0.043,6.781,0.031,6.773,0.02,88.65791068978447,2.76353453744764,True,7295.375243475406,0.0473998705991248,2.475941907831973e-11,,,,validation,6.724
3569041067617353856,7.478309,7.6886544,7.1099167,6400.002,2240.4893,4303.643,0.57873774,0.98865044,6.424,0.08,6.430380863810852,0.025,6.494,0.017,6.448,0.063,0000,0.0,6.746,0.02,6.572,0.027,6.478,0.023,84.80558992419385,2.836186602323721,True,6254.496040794914,0.0462763637034627,2.227180467261783e-11,,,,validation,6.407
