source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,bp_rp,ruwe,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,wise_cc_flags,wise_ext_flag,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,distance_invparallax_pc,M_G_invparallax,heph_cmd_main_sequence,T_colorfit_K,baseline_rms_mag,Fbol_fit_Wm2,mir_resid_proxy,saturation_flag,template_id,_origin
4441362875489608192,9.462636,9.7538805,9.003555,4455.2993,1815.5579,2505.2805,0.7503252,5.4403915,8.146,0.022,8.176,0.02,8.166,0.022,8.09,0.224,h000,0.0,8.529,0.024,8.265,0.067,8.179,0.038,99.89819446801536,4.464847805099513,True,5543.8638891092605,0.1122752133832736,3.248356057250154e-12,,,,validation
1607164362593977472,9.531792,9.837403,9.059171,1679.7325,553.4368,838.8858,0.7782326,0.9217122,8.167,0.023,8.206,0.02,8.166,0.019,7.898,0.163,0,0.0,8.564,0.03,8.33,0.033,8.259,0.033,98.34596356994896,4.568009301004441,True,5909.5968541977645,0.0728633836155992,3.679273439296019e-12,0.0897626503854311,False,87.0,template
1552365046663591552,9.651159,9.984473,9.152389,2776.9136,824.37305,1231.7029,0.83208466,0.9379101,8.208,0.023,8.233,0.02,8.207,0.019,7.911,0.151,0,0.0,8.597,0.02,8.358,0.031,8.272,0.026,97.1126175320217,4.714780699660011,True,5740.462806252101,0.0783750263344932,3.388921331968476e-12,0.1327369058504022,False,90.0,template
1260178387155799808,9.709737,10.024088,9.219679,7084.0806,4254.558,5699.724,0.804409,1.7760934,8.23,0.023,8.246,0.02,8.206,0.02,8.131,0.202,0000,0.0,8.65,0.021,8.387,0.023,8.283,0.017,96.64903968493176,4.783749284049206,True,5418.670929218119,0.0882385248880855,2.951590904542899e-12,,,,validation
1410031754619015168,9.5796795,9.875577,9.112923,6971.679,2371.5078,4664.3022,0.7626543,0.9803546,8.2,0.023,8.235,0.021,8.214,0.018,8.135,0.131,0000,0.0,8.585,0.027,8.279,0.018,8.251,0.012,89.01877360516328,4.8322714660268105,True,5667.8810833290345,0.1041944670264353,3.4676093524149122e-12,,,,validation
4827187346831383808,9.720111,10.086133,9.18535,7355.6694,2987.688,5026.616,0.9007826,1.3857932,8.122,0.023,8.165,0.021,8.108,0.02,7.951,0.201,0,0.0,8.613,0.024,8.286,0.059,8.215,0.023,93.28445001439792,4.87106472316329,True,5206.154722524501,0.1041129378813849,2.819267492634988e-12,0.1400853198171443,False,93.0,template
156417456177891712,9.671111,10.024053,9.148798,3661.052,1288.9004,1727.4512,0.87525463,0.8142211,8.147,0.022,8.19,0.019,8.153,0.023,7.772,0.209,0000,0.0,8.608,0.019,8.308,0.036,8.19,0.017,89.16502254232329,4.920138381478221,True,5078.799530090017,0.1166078386537773,2.70283161048576e-12,,,,validation
6826901197606522624,9.939104,10.289536,9.4198885,5083.7334,3045.9226,4084.8315,0.869648,0.917411,8.41,0.022,8.457,0.02,8.407,0.025,8.613,0.445,0000,0.0,8.83,0.019,8.533,0.047,8.45,0.025,98.65446036502536,4.968520373238537,True,5327.183681559236,0.1171986149958946,2.3508025985974235e-12,,,,validation
3885085033501424512,9.756786,10.088544,9.256672,3476.4824,1346.6978,2115.7935,0.831872,0.9784929,8.291,0.022,8.337,0.02,8.306,0.022,8.136,0.287,0000,0.0,8.693,0.018,8.384,0.018,8.507,0.019,89.66402339259406,4.993694887132621,True,7211.966159491069,0.0820306109874656,5.3117182729202455e-12,,,,validation
1272222059568726144,10.009346,10.284633,9.378119,3430.9033,1044.8617,504.16776,0.9065132,2.25953,8.19,0.023,8.231,0.02,8.186,0.019,8.034,0.145,0000,0.0,8.711,0.026,8.31,0.023,8.253,0.021,99.13216715901996,5.028272997358357,True,4844.188631032711,0.1347721486051114,2.3302473424175485e-12,,,,validation
3342179932971722752,9.854653,10.211745,9.330536,5718.695,2099.1594,3339.767,0.8812094,1.029729,8.306,0.022,8.363,0.019,8.314,0.025,8.189,0.276,0000,0.0,8.775,0.024,8.484,0.049,8.421,0.024,91.21947718618732,5.054215105981026,True,5513.817022034106,0.0895908136399142,2.6867522040482147e-12,,,,validation
3746358208316995968,9.973069,10.351099,9.416506,5082.6865,5214.8423,4408.9287,0.9345932,1.2058159,8.299,0.023,8.339,0.02,8.31,0.022,8.131,0.221,0000,0.0,8.773,0.023,8.445,0.031,8.339,0.018,95.09065650163592,5.082379771208487,True,4981.902461022248,0.1248888208453323,2.2518132834560333e-12,,,,validation
2987423502700649600,10.098609,10.436908,9.590086,5598.6143,2713.3083,3569.776,0.8468218,0.96565235,8.6,0.023,8.645,0.02,8.625,0.028,8.208,0.291,0000,0.0,9.03,0.021,8.72,0.04,8.654,0.025,99.20289363190388,5.115987299005303,True,5354.957429967969,0.1137645561372405,1.985443903784701e-12,,,,validation
6059543309532526464,10.021724,10.389856,9.487225,3470.1887,992.25195,1344.1215,0.90263176,0.889668,8.421,0.023,8.47,0.02,8.385,0.024,8.21,0.171,0h00,0.0,8.879,0.027,8.59,0.055,8.506,0.021,94.78397620161398,5.138049382688326,True,5376.004527100168,0.0983735452484425,2.3109791331617158e-12,,,,validation
