band,T_DS_K,gamma,N,saturation_risk_fraction,median_injected_mag,median_flux_boost
W3,100,0.03,24,0.0,6.79015619517079,1.5079973493010868
W3,100,0.05,24,0.0,6.548210408880239,1.8466622488351443
W3,100,0.08,24,0.041666666666666664,6.296826426474677,2.354659598136232
W3,100,0.1,24,0.08333333333333333,6.1741930607827085,2.6933244976702895
W3,100,0.14,24,0.08333333333333333,5.965002908856565,3.3706542967384054
W3,100,0.16,24,0.08333333333333333,5.874120172312615,3.709319196272463
W3,150,0.03,24,0.08333333333333333,5.26308195576958,6.7544423437607755
W3,150,0.05,24,0.20833333333333334,4.80230335620967,10.590737239601292
W3,150,0.08,24,0.375,4.3489922133328704,16.345179583362068
W3,150,0.1,24,0.4583333333333333,4.126475261423279,20.181474479202585
W3,150,0.14,24,0.5,3.7842379598102154,27.85406427088362
W3,150,0.16,24,0.5,3.646585473485137,31.690359166724136
W3,200,0.03,24,0.3333333333333333,4.47332024957819,14.499893987753943
W3,200,0.05,24,0.4583333333333333,3.963494515607537,23.499823312923247
W3,200,0.08,24,0.5833333333333334,3.4793285860977026,36.99971730067719
W3,200,0.1,24,0.7083333333333334,3.245923857291206,45.999646625846495
W3,200,0.14,24,0.7916666666666666,2.890841930084345,63.999505276185076
W3,200,0.16,24,0.8333333333333334,2.7490838819617016,72.99943460135438
W3,250,0.03,24,0.4166666666666667,4.163239729615248,19.457804653448754
W3,250,0.05,24,0.5416666666666666,3.6421948768301213,31.76300775574793
W3,250,0.08,24,0.7083333333333334,3.1513053114441707,50.22081240919668
W3,250,0.1,24,0.7916666666666666,2.915587949500303,62.52601551149586
W3,250,0.14,24,0.9166666666666666,2.5578173006526455,87.13642171609419
W3,250,0.16,24,0.9166666666666666,2.415208805446235,99.44162481839336
W3,300,0.03,24,0.4583333333333333,4.082265037882871,21.003318522955773
W3,300,0.05,24,0.5833333333333334,3.558789090673128,34.33886420492629
W3,300,0.08,24,0.7916666666666666,3.0664585037563,54.34218272788206
W3,300,0.1,24,0.8333333333333334,2.8302482584531674,67.67772840985259
W3,300,0.14,24,0.9166666666666666,2.4719063518968074,94.34881977379362
W3,300,0.16,24,0.9166666666666666,2.3291175655098835,107.68436545576411
W4,100,0.03,24,0.0,2.7513022154286353,61.24962031262484
W4,100,0.05,24,0.08333333333333333,2.2086168830081583,101.41603385437473
W4,100,0.08,24,0.08333333333333333,1.705100001583776,161.66565416699956
W4,100,0.1,24,0.08333333333333333,1.465097184682369,201.8320677087495
W4,100,0.14,24,0.125,1.1023808292986725,282.1648947922493
W4,100,0.16,24,0.16666666666666666,0.9582161484894773,322.3313083339991
W4,150,0.03,24,0.08333333333333333,2.1455260400364957,107.50936743695144
W4,150,0.05,24,0.08333333333333333,1.5977318930908964,178.51561239491906
W4,150,0.08,24,0.125,1.0912949875659188,285.0249798318705
W4,150,0.1,24,0.20833333333333334,0.850311266327874,356.0312247898382
W4,150,0.14,24,0.25,0.48646919432460356,498.0437147057735
W4,150,0.16,24,0.2916666666666667,0.3419516969677421,569.049959663741
W4,200,0.03,24,0.08333333333333333,2.182787520866605,103.85961374813417
W4,200,0.05,24,0.08333333333333333,1.6352319833911344,172.4326895802236
W4,200,0.08,24,0.08333333333333333,1.1289308948764423,275.2923033283578
W4,200,0.1,24,0.20833333333333334,0.8879927056367815,343.8653791604472
W4,200,0.14,24,0.25,0.5242028304813897,481.01153082462616
W4,200,0.16,24,0.2916666666666667,0.3797016798400703,549.5846066567156
W4,250,0.03,24,0.0,2.397683009096645,85.08875470762634
W4,250,0.05,24,0.08333333333333333,1.8516758464183436,141.14792451271057
W4,250,0.08,24,0.08333333333333333,1.3462574372478349,225.23667922033692
W4,250,0.1,24,0.125,1.1056153809104208,281.29584902542115
W4,250,0.14,24,0.20833333333333334,0.7421651214099891,393.4141886355896
W4,250,0.16,24,0.20833333333333334,0.5977703595240991,449.4733584406738
W4,300,0.03,24,0.0,2.6624239063341406,66.53163887831715
W4,300,0.05,24,0.08333333333333333,2.1187990090014686,110.21939813052859
W4,300,0.08,24,0.08333333333333333,1.6147432000611146,175.75103700884574
W4,300,0.1,24,0.08333333333333333,1.374559032103766,219.43879626105718
W4,300,0.14,24,0.16666666666666666,1.0116343580876057,306.8143147654801
W4,300,0.16,24,0.20833333333333334,0.867404344232383,350.5020740176915
